i/j,1,2-1,2-2,3,5-1,5-2,8,11-1,11-2,12
1,0.751,0.683,1.275,1.211,2.158,2.873,3.537,2.599,2.728,2.909
2,1.595,0.612,0.113,0.765,0.922,1.65,2.307,2.016,2.047,2.096
3,1.583,0.735,1.022,0.383,1.541,2.186,2.835,1.701,1.831,2.022
4,2.232,1.198,1.018,0.448,0.889,1.418,2.045,1.117,1.173,1.285
5,2.972,1.966,1.445,1.549,0.456,0.274,0.937,1.619,1.495,1.319
6,2.927,1.882,1.578,1.154,0.918,1.024,1.528,0.734,0.655,0.627
7,3.848,2.802,2.369,2.165,1.419,0.856,0.799,1.385,1.172,0.85
8,4.396,3.375,2.872,2.833,1.882,1.162,0.587,2.153,1.937,1.612
9,2.198,1.617,1.945,1.152,2.274,2.792,3.382,1.67,1.872,2.162
10,2.679,1.846,1.947,1.09,1.916,2.276,2.798,0.916,1.126,1.433
11,3.672,2.664,2.456,1.852,1.823,1.701,1.943,0.438,0.302,0.38
12,3.938,2.901,2.6,2.131,1.809,1.49,1.578,0.877,0.672,0.426
13,4.454,3.41,3.072,2.659,2.208,1.742,1.613,1.407,1.209,0.963
14,4.619,3.624,3.419,2.804,2.725,2.443,2.462,1.354,1.267,1.244
